season,character,count,count_type,image
9,Mr. Burns,77.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
10,Apu,54.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
10,Bart,474.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
10,Chief Wiggum,137.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
10,Flanders,127.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
10,Grampa,84.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
10,Homer,1615.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
10,Krusty,28.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
10,Lenny,63.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
10,Lisa,545.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
10,Marge,615.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
10,Milhouse,61.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
10,Moe,78.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
10,Mr. Burns,105.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
11,Apu,93.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
11,Bart,571.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
11,Chief Wiggum,64.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
11,Flanders,144.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
11,Grampa,8.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
11,Homer,1438.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
11,Krusty,35.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
11,Lenny,66.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
11,Lisa,468.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
11,Marge,555.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
11,Milhouse,64.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
11,Moe,144.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
11,Mr. Burns,57.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
12,Apu,26.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
12,Bart,423.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
12,Chief Wiggum,109.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
12,Flanders,140.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
12,Grampa,37.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
12,Homer,1294.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
12,Krusty,157.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
12,Lenny,59.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
12,Lisa,438.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
12,Marge,435.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
12,Milhouse,101.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
12,Moe,88.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
12,Mr. Burns,72.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
13,Apu,75.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
13,Bart,439.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
13,Chief Wiggum,106.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
13,Flanders,61.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
13,Grampa,125.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
13,Homer,1180.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
13,Krusty,50.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
13,Lenny,96.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
