season,raw_character_text,word_count
11,Jimbo Jones,6.0
11,Kent Brockman,597.0
11,Kirk Van Houten,18.0
11,Krusty the Clown,401.0
11,Lenny Leonard,464.0
11,Lisa Simpson,3882.0
11,Lou,61.0
11,Marge Simpson,4902.0
11,Martin Prince,24.0
11,Milhouse Van Houten,452.0
11,Moe Szyslak,1685.0
11,Ned Flanders,1156.0
11,Nelson Muntz,231.0
11,Otto Mann,125.0
11,Patty Bouvier,73.0
11,Professor Jonathan Frink,207.0
11,Ralph Wiggum,231.0
11,Rev. Timothy Lovejoy,371.0
11,Selma Bouvier,50.0
11,Sideshow Mel,669.0
11,Waylon Smithers,62.0
12,Agnes Skinner,178.0
12,Apu Nahasapeemapetilon,189.0
12,Barney Gumble,70.0
12,Bart Simpson,2915.0
12,C. Montgomery Burns,644.0
12,Carl Carlson,418.0
12,Chief Wiggum,1035.0
12,Cletus Spuckler,89.0
12,Comic Book Guy,524.0
12,Dr. Julius Hibbert,611.0
12,Duffman,48.0
12,Edna Krabappel-Flanders,54.0
12,Fat Tony,147.0
12,Gary Chalmers,68.0
12,Grampa Simpson,296.0
12,Groundskeeper Willie,220.0
12,Homer Simpson,10465.0
12,Jimbo Jones,33.0
12,Kent Brockman,940.0
12,Kirk Van Houten,62.0
12,Krusty the Clown,1861.0
12,Lenny Leonard,502.0
12,Lisa Simpson,3374.0
12,Lou,170.0
12,Marge Simpson,3488.0
12,Martin Prince,53.0
12,Mayor Joe Quimby,160.0
12,Milhouse Van Houten,679.0
12,Moe Szyslak,624.0
12,Ned Flanders,1221.0
12,Nelson Muntz,388.0
12,Otto Mann,47.0
12,Patty Bouvier,9.0
12,Professor Jonathan Frink,304.0
12,Ralph Wiggum,192.0
12,Rev. Timothy Lovejoy,86.0
12,Selma Bouvier,5.0
12,Sideshow Bob,540.0
12,Sideshow Mel,108.0
12,Waylon Smithers,138.0
13,Agnes Skinner,89.0
13,Apu Nahasapeemapetilon,778.0
13,Barney Gumble,117.0
13,Bart Simpson,2982.0
13,C. Montgomery Burns,1606.0
13,Carl Carlson,475.0
13,Chief Wiggum,1126.0
13,Cletus Spuckler,125.0
13,Comic Book Guy,188.0
13,Dr. Julius Hibbert,448.0
13,Duffman,72.0
13,Edna Krabappel-Flanders,150.0
13,Fat Tony,128.0
13,Gary Chalmers,25.0
13,Grampa Simpson,1053.0
13,Groundskeeper Willie,140.0
13,Homer Simpson,9964.0
13,Jimbo Jones,56.0
13,Kent Brockman,409.0
13,Kirk Van Houten,120.0
13,Krusty the Clown,515.0
13,Lenny Leonard,670.0
13,Lisa Simpson,3185.0
13,Lou,113.0
13,Marge Simpson,5103.0
13,Martin Prince,42.0
13,Mayor Joe Quimby,204.0
13,Milhouse Van Houten,474.0
13,Moe Szyslak,1830.0
13,Ned Flanders,497.0
13,Nelson Muntz,104.0
13,Otto Mann,141.0
13,Patty Bouvier,173.0
13,Professor Jonathan Frink,113.0
13,Ralph Wiggum,107.0
13,Rev. Timothy Lovejoy,225.0
13,Selma Bouvier,49.0
13,Sideshow Mel,62.0
13,Waylon Smithers,216.0
14,Agnes Skinner,77.0
14,Apu Nahasapeemapetilon,319.0
14,Barney Gumble,119.0
14,Bart Simpson,3737.0
14,C. Montgomery Burns,687.0
14,Carl Carlson,396.0
14,Chief Wiggum,969.0
14,Cletus Spuckler,196.0
14,Comic Book Guy,126.0
14,Dr. Julius Hibbert,517.0
14,Duffman,177.0
14,Edna Krabappel-Flanders,312.0
14,Fat Tony,95.0
14,Gary Chalmers,41.0
14,Grampa Simpson,211.0
14,Groundskeeper Willie,127.0
14,Homer Simpson,11524.0
14,Jimbo Jones,53.0
14,Kent Brockman,519.0
14,Kirk Van Houten,127.0
14,Krusty the Clown,1053.0
14,Lenny Leonard,410.0
14,Lisa Simpson,3970.0
14,Lou,106.0
14,Marge Simpson,5069.0
14,Martin Prince,65.0
14,Mayor Joe Quimby,305.0
14,Milhouse Van Houten,671.0
14,Moe Szyslak,1954.0
14,Ned Flanders,1554.0
14,Nelson Muntz,266.0
14,Otto Mann,91.0
14,Patty Bouvier,17.0
14,Professor Jonathan Frink,184.0
14,Ralph Wiggum,123.0
14,Rev. Timothy Lovejoy,160.0
14,Selma Bouvier,10.0
14,Sideshow Bob,556.0
14,Sideshow Mel,124.0
14,Waylon Smithers,121.0
15,Agnes Skinner,138.0
15,Apu Nahasapeemapetilon,264.0
15,Barney Gumble,116.0
15,Bart Simpson,4019.0
15,C. Montgomery Burns,1254.0
15,Carl Carlson,312.0
15,Chief Wiggum,958.0
15,Cletus Spuckler,85.0
15,Comic Book Guy,483.0
15,Dr. Julius Hibbert,355.0
15,Duffman,48.0
15,Edna Krabappel-Flanders,448.0
15,Gary Chalmers,185.0
15,Grampa Simpson,528.0
15,Groundskeeper Willie,310.0
15,Homer Simpson,10657.0
15,Jimbo Jones,44.0
15,Kent Brockman,1003.0
15,Kirk Van Houten,107.0
15,Krusty the Clown,881.0
15,Lenny Leonard,424.0
15,Lisa Simpson,4836.0
15,Lou,199.0
15,Marge Simpson,5485.0
15,Martin Prince,106.0
15,Mayor Joe Quimby,242.0
15,Milhouse Van Houten,761.0
15,Moe Szyslak,804.0
15,Ned Flanders,474.0
15,Nelson Muntz,305.0
15,Otto Mann,189.0
15,Patty Bouvier,113.0
15,Professor Jonathan Frink,443.0
15,Ralph Wiggum,102.0
15,Rev. Timothy Lovejoy,115.0
15,Selma Bouvier,201.0
15,Sideshow Mel,325.0
15,Waylon Smithers,184.0
16,Agnes Skinner,46.0
16,Apu Nahasapeemapetilon,349.0
16,Barney Gumble,120.0
16,Bart Simpson,3384.0
16,C. Montgomery Burns,887.0
16,Carl Carlson,192.0
16,Chief Wiggum,1180.0
16,Cletus Spuckler,101.0
16,Comic Book Guy,85.0
16,Dr. Julius Hibbert,421.0
16,Edna Krabappel-Flanders,164.0
16,Fat Tony,33.0
16,Gary Chalmers,104.0
16,Grampa Simpson,340.0
16,Groundskeeper Willie,210.0
16,Homer Simpson,10992.0
16,Jimbo Jones,81.0
16,Kent Brockman,594.0
16,Kirk Van Houten,78.0
16,Krusty the Clown,677.0
16,Lenny Leonard,223.0
16,Lisa Simpson,3684.0
16,Lou,170.0
16,Marge Simpson,6102.0
16,Martin Prince,72.0
16,Mayor Joe Quimby,201.0
16,Milhouse Van Houten,384.0
16,Moe Szyslak,1123.0
16,Ned Flanders,1583.0
16,Nelson Muntz,554.0
16,Otto Mann,61.0
16,Patty Bouvier,371.0
16,Professor Jonathan Frink,450.0
16,Ralph Wiggum,127.0
16,Rev. Timothy Lovejoy,242.0
16,Selma Bouvier,430.0
16,Sideshow Mel,120.0
16,Waylon Smithers,110.0
17,Agnes Skinner,159.0
17,Apu Nahasapeemapetilon,100.0
17,Barney Gumble,53.0
17,Bart Simpson,3268.0
17,C. Montgomery Burns,1111.0
17,Carl Carlson,377.0
17,Chief Wiggum,540.0
17,Cletus Spuckler,34.0
17,Comic Book Guy,190.0
17,Dr. Julius Hibbert,293.0
17,Duffman,56.0
17,Edna Krabappel-Flanders,203.0
17,Fat Tony,47.0
17,Gary Chalmers,170.0
17,Grampa Simpson,1094.0
17,Groundskeeper Willie,415.0
17,Homer Simpson,9691.0
17,Jimbo Jones,183.0
17,Kent Brockman,664.0
17,Kirk Van Houten,243.0
17,Krusty the Clown,449.0
17,Lenny Leonard,593.0
17,Lisa Simpson,3537.0
17,Lou,135.0
17,Marge Simpson,5888.0
17,Martin Prince,103.0
17,Mayor Joe Quimby,403.0
17,Milhouse Van Houten,833.0
17,Moe Szyslak,1401.0
17,Ned Flanders,966.0
17,Nelson Muntz,229.0
17,Otto Mann,96.0
17,Patty Bouvier,198.0
17,Professor Jonathan Frink,76.0
17,Ralph Wiggum,67.0
17,Rev. Timothy Lovejoy,288.0
17,Selma Bouvier,244.0
17,Sideshow Bob,477.0
17,Sideshow Mel,140.0
17,Waylon Smithers,136.0
18,Apu Nahasapeemapetilon,243.0
18,Barney Gumble,32.0
18,Bart Simpson,3866.0
18,C. Montgomery Burns,493.0
18,Carl Carlson,280.0
18,Chief Wiggum,593.0
18,Cletus Spuckler,288.0
18,Comic Book Guy,135.0
18,Dr. Julius Hibbert,66.0
18,Edna Krabappel-Flanders,39.0
18,Fat Tony,260.0
18,Gary Chalmers,312.0
18,Grampa Simpson,873.0
18,Groundskeeper Willie,263.0
18,Homer Simpson,8962.0
18,Jimbo Jones,186.0
18,Kent Brockman,676.0
18,Kirk Van Houten,57.0
18,Krusty the Clown,989.0
18,Lenny Leonard,344.0
18,Lisa Simpson,3353.0
18,Lou,302.0
18,Marge Simpson,4635.0
18,Martin Prince,264.0
18,Mayor Joe Quimby,229.0
18,Milhouse Van Houten,484.0
18,Moe Szyslak,1713.0
18,Ned Flanders,322.0
18,Nelson Muntz,683.0
18,Otto Mann,188.0
18,Patty Bouvier,75.0
18,Professor Jonathan Frink,150.0
18,Ralph Wiggum,53.0
18,Rev. Timothy Lovejoy,152.0
18,Selma Bouvier,322.0
18,Sideshow Mel,103.0
18,Waylon Smithers,126.0
19,Agnes Skinner,102.0
19,Apu Nahasapeemapetilon,178.0
19,Bart Simpson,3783.0
19,C. Montgomery Burns,481.0
19,Carl Carlson,285.0
19,Chief Wiggum,488.0
19,Cletus Spuckler,164.0
19,Comic Book Guy,314.0
19,Dr. Julius Hibbert,235.0
19,Duffman,101.0
19,Edna Krabappel-Flanders,39.0
19,Gary Chalmers,231.0
19,Grampa Simpson,315.0
19,Groundskeeper Willie,116.0
19,Homer Simpson,8804.0
19,Jimbo Jones,39.0
19,Kent Brockman,462.0
19,Kirk Van Houten,140.0
19,Krusty the Clown,1141.0
19,Lenny Leonard,338.0
19,Lisa Simpson,3274.0
19,Lou,106.0
19,Marge Simpson,3859.0
19,Martin Prince,262.0
19,Mayor Joe Quimby,301.0
19,Milhouse Van Houten,643.0
19,Moe Szyslak,498.0
19,Ned Flanders,405.0
19,Nelson Muntz,586.0
19,Otto Mann,43.0
19,Patty Bouvier,38.0
19,Professor Jonathan Frink,113.0
19,Ralph Wiggum,121.0
19,Rev. Timothy Lovejoy,115.0
19,Selma Bouvier,51.0
19,Sideshow Bob,484.0
19,Sideshow Mel,548.0
19,Waylon Smithers,41.0
