season,number_in_season,episode_id,character,sentence_count,image
25,13,543,Lenny,1,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
25,13,543,Lisa,37,https://img.icons8.com/doodle/48/lisa-simpson.png
25,13,543,Lou,1,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
25,13,543,Marge,24,https://img.icons8.com/doodle/48/marge-simpson.png
25,13,543,Nelson,2,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
25,13,543,Rev. Lovejoy,6,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Rev._Lovejoy_Sidebar.png
25,13,543,Sideshow Bob,41,https://static.simpsonswiki.com/images/6/68/Tapped_Out_Sideshow_Bob_Icon_-_Serious.png
25,13,543,Sideshow Mel,1,https://static.simpsonswiki.com/images/6/6d/Tapped_Out_Sideshow_Mel_Icon.png
25,14,544,Bart,15,https://img.icons8.com/doodle/48/bart-simpson.png
25,14,544,Chief Wiggum,3,https://img.icons8.com/doodle/48/clancy-wiggum.png
25,14,544,Dr. Hibbert,2,https://static.simpsonswiki.com/images/d/d5/Tapped_Out_Dr._Hibbert_Icon.png
25,14,544,Grampa,17,https://img.icons8.com/doodle/48/abraham-simpson.png
25,14,544,Homer,35,https://img.icons8.com/doodle/48/homer-simpson.png
25,14,544,Jimbo,9,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
25,14,544,Lisa,5,https://img.icons8.com/doodle/48/lisa-simpson.png
25,14,544,Lou,1,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
25,14,544,Marge,20,https://img.icons8.com/doodle/48/marge-simpson.png
25,14,544,Martin Prince,2,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
25,14,544,Milhouse,1,https://img.icons8.com/doodle/48/milhouse-van-houten.png
25,14,544,Moe,2,https://img.icons8.com/doodle/48/bartender-mo.png
25,14,544,Nelson,9,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
25,14,544,Patty,2,https://static.simpsonswiki.com/images/3/31/Tapped_Out_Patty_Sidebar.png
25,15,545,Apu,1,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
25,15,545,Bart,10,https://img.icons8.com/doodle/48/bart-simpson.png
25,15,545,Brockman,2,https://static.simpsonswiki.com/images/3/35/Tapped_Out_Brockman_Sidebar.png
25,15,545,Carl,1,https://static.simpsonswiki.com/images/a/a4/Tapped_Out_Carl_Icon.png
25,15,545,Homer,78,https://img.icons8.com/doodle/48/homer-simpson.png
25,15,545,Kirk,17,https://static.simpsonswiki.com/images/6/61/Tapped_Out_Acorn_Kirk_Icon.png
25,15,545,Lenny,1,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
25,15,545,Lisa,37,https://img.icons8.com/doodle/48/lisa-simpson.png
25,15,545,Marge,38,https://img.icons8.com/doodle/48/marge-simpson.png
25,15,545,Milhouse,5,https://img.icons8.com/doodle/48/milhouse-van-houten.png
