season,number_in_season,episode_id,character,sentence_count
4,4,63,Brockman,7
4,4,63,Chief Wiggum,3
4,4,63,Dr. Hibbert,1
4,4,63,Grampa,1
4,4,63,Groundskeeper Willie,1
4,4,63,Homer,44
4,4,63,Krusty,14
4,4,63,Lisa,42
4,4,63,Marge,14
4,4,63,Mayor Quimby,2
4,4,63,Milhouse,2
4,4,63,Moe,1
4,4,63,Nelson,2
4,4,63,Otto,2
4,4,63,Ralph,1
4,5,64,Barney,4
4,5,64,Bart,28
4,5,64,Brockman,1
4,5,64,Carl,2
4,5,64,Chief Wiggum,1
4,5,64,Edna Krabappel,2
4,5,64,Flanders,4
4,5,64,Grampa,9
4,5,64,Groundskeeper Willie,3
4,5,64,Homer,42
4,5,64,Krusty,2
4,5,64,Lenny,3
4,5,64,Lisa,12
4,5,64,Marge,23
4,5,64,Mayor Quimby,1
4,5,64,Mr. Burns,17
4,5,64,Otto,1
4,5,64,Patty,1
4,5,64,Smithers,1
4,6,65,Bart,47
4,6,65,Brockman,8
4,6,65,Chief Wiggum,2
4,6,65,Edna Krabappel,7
4,6,65,Grampa,9
4,6,65,Groundskeeper Willie,1
4,6,65,Homer,67
4,6,65,Lisa,11
4,6,65,Marge,33
4,6,65,Milhouse,2
4,6,65,Nelson,2
4,7,66,Bart,17
4,7,66,Brockman,1
4,7,66,Carl,2
4,7,66,Chief Wiggum,1
4,7,66,Edna Krabappel,12
4,7,66,Flanders,2
4,7,66,Grampa,11
4,7,66,Groundskeeper Willie,3
4,7,66,Homer,47
4,7,66,Krusty,4
4,7,66,Lenny,2
4,7,66,Lisa,6
4,7,66,Marge,43
4,7,66,Mr. Burns,31
4,7,66,Nelson,1
4,7,66,Smithers,26
4,8,67,Apu,2
4,8,67,Barney,3
4,8,67,Bart,48
4,8,67,Grampa,4
4,8,67,Homer,47
4,8,67,Jimbo,8
4,8,67,Lisa,11
4,8,67,Marge,24
4,8,67,Moe,13
4,9,68,Apu,1
4,9,68,Barney,25
4,9,68,Bart,6
4,9,68,Brockman,6
4,9,68,Flanders,2
4,9,68,Grampa,6
4,9,68,Groundskeeper Willie,1
4,9,68,Homer,83
4,9,68,Krusty,3
4,9,68,Lisa,11
4,9,68,Marge,10
4,9,68,Mayor Quimby,4
4,9,68,Moe,5
4,9,68,Nelson,1
4,9,68,Rev. Lovejoy,2
4,10,69,Bart,54
